art_sifra,agp_id,sifra,vpc,aktivan,stanje,art_naziv,kataloski,grupanaziv,proizvodjac,hash
140155,117,,185.171,0,0,Bežični sobni senzor za vlažnost,01/RAS-F/F,IMTEC POTROŠNI,,7cd107d24bc07b528f3f519b0b6fcfd0
140156,117,,137.692,0,0,Sobni senzor s daljinskim prikazom i mjerenjem vlage,01/RAS+DL,IMTEC POTROŠNI,,a645aa805b28bb35dc78a11fddc53800
140157,117,,156.709,0,0,Sobni senzor PT1000,01/RASPT,IMTEC POTROŠNI,,d2218009e3b90a632b884afb81e8065e
140158,117,,137.692,0,0,Prijemnik DL-BUS,01/RCV-DL,IMTEC POTROŠNI,,0b9ce8ba4394c264217580bd724d5595
140159,117,,118.718,0,0,Senzor za kišu,01/RES01,IMTEC POTROŠNI,,454aa3413e25e01b62a19b94983dc03a
140160,117,,451.111,0,0,Upravljački i sklopni modul RSM610,01/RSM610,IMTEC POTROŠNI,,3a845961111d48fc96c151f0cc0b6310
140161,117,,29.444,0,0,Cijev 300mm,01/TH300-MS,IMTEC POTROŠNI,,f023d9c169891cdce06da2a966612bb7
140162,117,,1347.564,0,0,Slobodno programabilni univerzalni kontroler,01/UVR16X2K,IMTEC POTROŠNI,,e4556711832b761d65b264c5f78b7ff9
140163,117,,160.513,0,0,Wireless ruter,01/WNA,IMTEC POTROŠNI,,53f602ff475a546656b82f5cedc4b15b
140164,117,,5.128,0,0,Opruga(senzor veziva),10/RF,IMTEC POTROŠNI,,6603fa2c552a00c87a84bf90be61e3e6
140165,117,,71.239,0,0,Kućište konzole UVR16X2,01/UVR16X2,IMTEC POTROŠNI,,83c95c30516b65555f45adfcf42caa7e
140166,19,100021,65.513,0,0,Canyon web kamera CNS-CWC5,CNS-CWC5,Mikrofoni i web kamere za PC,Canyon,a9b11cf16059e8137ea61fda2fcba260
140167,19,100021,84.53,0,0,Canyon web kamera CNS-CWC6,CNS-CWC6,Mikrofoni i web kamere za PC,Canyon,dec537aaba91b32cc2c0f8580e9537c1
140168,37,,137.692,0,0,Microsoft gamepad wireless black/XONE S,22981,Oprema za game konzole i PC,,7f5d1c7e2fc8202d406d94c6f762e6b0
140169,338,,21.838,0,0,Plastelin set Snack Deluxe,01250180,Igračke,,91b07838c4a372bae957a7a6ead2ab40
140170,273,165409,52.222,0,0,Mobitel Nokia 105 Dual SIM crni,A50769,Mobiteli,Nokia,ea06e5ecc145d5a3aaa7ed583b5079a6
140171,273,165409,331.453,0,0,Mobitel Nokia 3.1 2018 single SIM crni,A50866,Mobiteli,Nokia,894d7049f9ce7701b5b923a4d4558e7d
140172,273,165409,435.897,0,0,Mobitel Nokia 5.1 2018 single SIM plavi,A50875,Mobiteli,Nokia,c421a50726df482cb141b788f7e835e3
140173,273,165409,597.35,0,0,Mobitel Nokia 6.1 2018 single SIM crni,A50849,Mobiteli,Nokia,03168265f31f30287769d6848f2ca433
140174,273,165409,749.274,0,0,Mobitel Nokia 7.1 2018 single SIM plavi,A50865,Mobiteli,Nokia,82e94e0e66c71feda31cc03b809152d7
140175,25,100005,1138.632,0,0,Epson printer MFP L7180 crni,C11CG16402,Inkjet multifunkcijski printeri,Epson,4b7a869ef065a2a9be2e282bef3dc9a7
140176,120,100000,692.308,0,0,HP 20-c400ny AiO (4PR58EA),4PR58EA,All in one računari,HP,7c76fd628a4083d4c3741706fb35f3cd
140177,120,100007,939.231,0,0,ASUS V161GAT-BD052D (90PT0201-M03080),90PT0201-M03080,All in one računari,Asus,dc91e6570f91619839d07038a4bd1f19
140178,120,100000,948.718,0,0,HP 200G3 AiO (3VA62EA),3VA62EA,All in one računari,HP,3d8ba66119f50c6363568894203030f5
140179,120,100000,1328.59,0,0,HP 22-c0002ny AiO (4PL31EA),4PL31EA,All in one računari,HP,05529acdf022b5a0e36f7997b3a3b71f
140180,120,100000,1281.111,0,0,HP 24-f0006ny AiO (5ER86EA),5ER86EA,All in one računari,HP,44f4348aca1235786adde18c9bc22e2d
140181,120,100009,1708.462,0,0,Lenovo IdeaCentre 520-22ICB AiO (F0DT002ESC),F0DT002ESC,All in one računari,Lenovo,248bc65ad75af7e6f7a64a6182b65e28
140182,9,555581,90.214,0,0,LC-Power kućište 990B Concorde,LC-990B-ON,Kućišta za računare,LC-POWER,dc981474b22afdf4265189a1102c8c81
140183,120,100009,1565.983,0,0,Lenovo IdeaCentre 520-24ICB AiO (F0DJ0062SC),F0DJ0062SC,All in one računari,Lenovo,468d54e9dea223ec8270d7f20382b029
140184,120,100009,1755.94,0,0,Lenovo IdeaCentre 520-24ICB AiO (F0DJ0063SC),F0DJ0063SC,All in one računari,Lenovo,c05cc61781bc687e25513c6332e223ba
140185,120,100009,2040.855,0,0,Lenovo IdeaCentre 520-27ICB AiO (F0DE001MSC),F0DE001MSC,All in one računari,Lenovo,7d561b32e48e1a199b1845f860db070f
140186,120,100009,2116.795,0,0,Lenovo IdeaCentre 520-27ICB AiO (F0DE001PSC),F0DE001PSC,All in one računari,Lenovo,08e041814a4cee788af0421a995d81ba
140187,308,198338,18.974,0,0,City Mobil baterija za Samsung Galaxy I9190 org,4676,Oprema za mobitele,CityMobil,aa964a29002e1c9c06dc7b51ef1ffd88
140188,308,198338,15.385,0,0,City Mobil baterija za Samsung Galaxy I8190 org,4678,Oprema za mobitele,CityMobil,6f4160aa53d00caa220ad2d94f077627
140189,301,558620,65.513,0,0,"Aparat za kafu Tefal CM340811, filter kafa",A9954,Kuhala i aparati za kafu,Tefal,c4184a7a264ed2bc3a4c1144dd41e56d
140190,86,100080,42.735,0,0,BitDefender GravityZone Business Security GOV / EDU licenca 500-999 korisnika 2 godine,,Antivirusna rješenja,BitDefender,67cb8e4b4213ca482599c4fac4de9103
140191,86,100080,53.162,0,0,BitDefender GravityZone Business Security GOV / EDU licenca 500-999 korisnika 3 godine,,Antivirusna rješenja,BitDefender,9e007e631416f1f19e50830cfbf738ff
140192,3,100000,663.803,0,0,Laptop HP 15-ra038nm (3QT59EA),3QT59EA,Laptopi,HP,6a724e757ea6f98ec7ba5c17efecc190
140193,3,100000,511.88,0,0,Laptop HP 15-ra036nm (3QT57EA),3QT57EA,Laptopi,HP,9aa90f5a486163bc4847be0f679fb915
140194,307,556441,777.778,0,0,Ploča za kuhanje ugradbena staklokeramička Gorenje ECS959BCSC nezavisna,730283,Električni šporeti i ploče,Gorenje,a8c52135c9c0d5bf96b34b06d6f1099a
140195,322,556441,369.402,0,0,Napa kuhinjska Gorenje WHT623E5X,679563,Kuhinjske nape,Gorenje,8cf9a0993efc77f8c5ba15d75445417b
140196,322,556441,616.325,0,0,Napa kuhinjska Gorenje WHI643E6XGB,679564,Kuhinjske nape,Gorenje,cb72cd96a301f932bea42be36e82a73c
140197,322,556441,549.872,0,0,Napa kuhinjska Gorenje WHI823E1XGB,679613,Kuhinjske nape,Gorenje,94d3eebef33ddee7626925dd69d396e9
140198,289,100015,346.624,0,0,D-link MESH Wi-Fi sistem COVR-C1203/E,COVR-C1203/E,Access Point - Range extender,D-Link,38dd709849675eacd1fb1615a9d6a4a3
140199,289,100015,283.932,0,0,D-link AC1200 Whole home WiFi system ( 2 pack ) COVR-C1202/E,COVR-C1202/E,Access Point - Range extender,D-Link,36c79a017a4f665731a1fe63ae586559
140200,307,556441,483.376,0,0,Ploča za kuhanje ugradbena staklokeramička Gorenje ECT322ORAB,730792,Električni šporeti i ploče,Gorenje,0bf9fcd2749484aba401f2b5b3cd4441
140201,307,556441,701.795,0,0,"Ploča za kuhanje ugradbena Gorenje ECT648ORAW staklokeramička, Ora-Ito 2, Bijela",730786,Električni šporeti i ploče,Gorenje,230d3f26dfb4aac4a8bc5626c00eeddb
140202,307,556441,1130.085,0,0,Pećnica ugradbena Gorenje BO658ORAW nezavisna,596722,Električni šporeti i ploče,Gorenje,4eeda0b21f818802fc79fcd55941de1d
140203,3,100007,1850.897,0,0,Asus ZenBook 13 UX331UAL-EG001T,UX331UAL-EG001T,Laptopi,Asus,c3ab151bdfdf4809f5b31b6a5bd3df67
140204,3,100007,1281.111,0,0,Laptop Asus VivoBook 15 X510UF-EJ253,90NB0IK2-M06240,Laptopi,Asus,5604ab298c615b3a599afb356abcf538
140205,259,100015,502.393,0,0,D-link IP mrežna kamera za video nadzor DCS-4802E,DCS-4802E,Smart home,D-Link,28b3e25f55feb6322086b87ea23f39cf
140206,259,100015,0.0,0,0,D-link IP mrežna kamera za video nadzor DCS-8000LH/E,DCS-8000LH/E,Smart home,D-Link,d4c6922610da9f9f6221517747099178
140207,117,100000,1590.684,0,0,"HP DAT 320 USBint. Tape Drive, AJ825A",AJ825A,IMTEC POTROŠNI,HP,24042d03f5ba470d7cb609f4de851919
140208,117,100000,4197.521,0,0,HP Tape ultrium 1760 SAS int. EH919A,EH919A,IMTEC POTROŠNI,HP,4ec1b7953eff23fcf480a1e81a45dc38
140209,69,117174,103.504,0,0,TP-link AC1350 Dual-Band Wi-Fi Router,ARCHER-C60,Routeri,"TP-LINK Technologies CO., LTD.",29eabb59bc1d29e7851e48171773a3a7
140210,13,100000,99.701,0,0,HP OMEN REACTOR miš 2VP02AA,2VP02AA,Miševi i podloge,HP,9c2ebb182a2f9c5e5b9cc9de7ef82731
140211,55,,2.564,0,0,Patch kabal Intellinet 2m CAT6 - SIVI,,Pasivna mrežna oprema,,889b6fd3f63d186b00d4d8ebc050833c
140212,55,,1.709,0,0,"Patch kabal Intellinet 0,5m CAT6 SIVI",,Pasivna mrežna oprema,,aea81a0cd084adbbe614e34f4692747e
140213,289,100000,622.051,0,0,Aruba IAP-207 (RW) Instant 2x2:2 11ac AP JX954A,JX954A,Access Point - Range extender,HP,cc763289ff4094d11411e87452416f70
140214,289,,118.718,0,0,POE Injector PD-3501G-AC 1p GE 802.3af Midspan JW627A,JW627A,Access Point - Range extender,,12ddf426025ec81339f2d9e40e67ce59
140215,3,104010,4937.308,0,0,Apple MacBook Pro 13 Touch Bar,NN,Laptopi,Apple,20458fc7928d6bef14c4798cf4dbcbf5
140216,56,,27.35,0,0,Microsoft 365 Apps for Enterprise - Mjesečna pretplata,,Microsoft rješenja za licenciranje,,14275355cd3498e9ff907cc98339f133
140217,96,100008,166.197,0,0,"Toshiba Externi HDD 2TB, HDTB420EK3ABH, 2,5'' USB 3.2 USB-C Adapter",HDTB420EK3ABH,Eksterni SSD i HDD,Toshiba,af47aebf0161fc2b4186a1e095b7f755
140218,306,556441,1091.197,0,0,Sušilica za rublje Gorenje DE82/G toplotna pumpa,730015,Perilice i sušilice rublja,Gorenje,7517993388fbafd7007f351dfd48a7a9
140219,60,,1613.504,0,0,Računar Lenovo ThinkCentre M720q,10T7006GZY-B,Brand računari,,8d820308bfe7437db982cd0aad90d058
140220,284,100009,454.872,0,0,Monitor Lenovo ThinkCentre Tiny-In-One 22,10R1PAR1EU-B,Monitori,Lenovo,4911d21f05cdd70c2191b3942640c253
140221,284,100009,331.453,0,0,Monitor Lenovo Thinkvision T23d-10,61C3MAR6EU-B,Monitori,Lenovo,bd233e11403455198099bc757179025a
140222,298,100004,910.726,0,0,Usisivač robot Samsung VR10M703HWG,VR10M703HWG,Usisivači,Samsung,35b4cfd1ecc2ba368c70f02d877ca10f
140223,306,100004,1945.855,0,0,Mašina za pranje i sušenje rublja Samsung WD90N644OOW 9kg+ gratis Usisivač robot Samsung VR10M703HWG,,Perilice i sušilice rublja,Samsung,d424fcc82366f06f49a6d9a7544bb9a5
140224,120,100009,2563.162,0,0,Lenovo ThinkCentre M920z AiO,A04429,All in one računari,Lenovo,2cb35accac5c33c3e8d3f3d5af597c36
140225,97,,61.709,0,0,Donje kućište za HP,,,,19fd2a5bff1c60edb828a3b3cf6508f1
140226,106,110070,6.838,0,0,SBOX sredstvo za čišćenje CS-11 Zelena jabuka,CS-11G,Nosači i oprema za televizore,SBOX,bb3b970ae8fa17cf03cda05656f6ed3c
140227,289,100000,663.803,0,0,Aruba access point IAP-305 802.11ac 2x2:2/3x3:3 JX945A,JX945A,Access Point - Range extender,HP,c264443763f5e396f7bf9f0a27be351d
140228,106,110070,6.838,0,0,SBOX sredstvo za čišćenje CS-11 Jagoda,CS-11R,Nosači i oprema za televizore,SBOX,dce71ac104a3fd164e308f1bb4fefce1
140229,106,110070,6.838,0,0,SBOX sredstvo za čišćenje CS-11 Borovnica,CS-11BL,Nosači i oprema za televizore,SBOX,c719dcf37702d1068a96cfc03fa6e1d0
140230,106,110070,6.838,0,0,SBOX sredstvo za čišćenje CS-11 Narandža,CS-11,Nosači i oprema za televizore,SBOX,9b8782b1c181c90d5085b549947b4e4e
140231,288,100000,1290.598,0,0,HPE OfficeCon web upravljivi 1920S 24G 2SFP PoE+ 370W JL385A,JL385A,Switchevi,HP,b4f7b10341c5928ed5be210149e940e3
140232,288,100000,350.427,0,0,HPE OfficeCon smart upravljivi switch 1920S 24G 2SFP JL381A,JL381A,Switchevi,HP,bba74d19d74289abc20a9f1643ff1353
140233,3,100009,787.265,0,0,Laptop Lenovo IdeaPad 330-15 (81DC00LDSC),81DC00LDSC,Laptopi,Lenovo,afb834f366ffd8a5e59aaafb32b5346e
140234,3,100009,568.846,0,0,Laptop Lenovo IdeaPad 330-15 (81D100BTSC),81D100BTSC,Laptopi,Lenovo,2570b199dc05a909b09edaa6775a2fbc
140235,3,100009,568.846,0,0,Laptop Lenovo IdeaPad 330-15 (81D100N5SC),81D100N5SC,Laptopi,Lenovo,ef5587e774e25600f93ccf47c946812c
140236,3,100009,1062.692,0,0,Laptop Lenovo V330-14 (81B000SYYA),81B000SYYA,Laptopi,Lenovo,0f98f4a25e1abd2846fff0f0156c5297
140237,3,100752,1186.154,0,0,Laptop Dell Inspiron 15-3576 (DI35B-I5-4-1T-56),DI35B-I5-4-1T-56,Laptopi,Dell,c212284c325fab528541f727a17c07a5
140239,100,110096,549.872,0,0,Tring AIO sistem,Tring AIO sistem,"Fiskalne kase, printeri i oprema",TRING d.o.o.Complete Engineering Gračanica,df9139a170d7c36809974fb284298190
140240,3,100000,1565.983,0,0,Laptop HP ProBook 470 G5 (2RR80EA),2RR80EA,Laptopi,HP,5e8dc65ab884abe3c4d70d57f617bd20
140241,284,100752,606.838,0,0,"Dell Proffesional P2418D 23,8 WLED IPS Monitor",P2418D-56,Monitori,Dell,525e368480cb47f6e07171a5de8c4b01
140242,114,100752,1186.154,0,0,DELL EMC PowerEdge T30 - PET3002-56,PET3002-56,Serveri,Dell,4b4f364e4c57e7a0306b6225d752b93c
140243,3,100000,1281.111,0,0,Laptop HP ProBook 430 G5 (2SY16EA),2SY16EA,Laptopi,HP,281104cbd2bf5e294c315808589be3c7
140244,3,100000,1660.983,0,0,Laptop HP ProBook 430 G5 (2SY09EA),2SY09EA,Laptopi,HP,47886b9e78553a8ed04805fd1a011982
140245,238,,2883.59,0,0,AutoCAD 2019 Commercial New Slm ELD Annual Subscription na godinu dana licence,AC2019,Digitalne licence,,63192e0a482290eac35f51df10c9da45
140246,3,100009,1471.026,0,0,Laptop Lenovo ThinkPad L480 (20LTS5KQ0F),20LTS5KQ0F,Laptopi,Lenovo,4f2e481b2d0ab9dbace2e4219923d00d
140247,105,100075,758.803,0,0,Televizor Philips 50''PFS5823 FHD Smart,50PFS5823/12,Televizori,Philips,3163fd9e8c1ccfaf0f28242a8a52acaa
140248,3,100752,806.282,0,0,Laptop Dell Vostro 3568 (N2092WVN3568EMEA01_1905-56),N2092WVN3568EMEA01_1905-56,Laptopi,Dell,14c02d13f0558441c266122205c5b1b2
140249,105,100075,1043.675,0,0,"Televizor Philips Philips 50''PUS7373 4K Ultra HD, Android",50PUS7373/12,Televizori,Philips,c83fd978835aba9639268f336cb7c619
140250,279,104523,14.53,0,0,Hama Power pack 2600 mAh bijeli,HAMAJPP2600_B,Eksterne baterije za smart telefone,Hama,29ef1e371bf7bd1089fa1b7d07c75c80
140251,279,104523,16.239,0,0,Hama Power pack 2600 mAh crni,HAMAJPP2600C,Eksterne baterije za smart telefone,Hama,70fe172a524b36d2fd93653da9b1a77e
140252,3,100009,1964.872,0,0,Laptop Lenovo Legion Y530-15 (81FV00DJSC),81FV00DJSC,Laptopi,Lenovo,e5cd81c05f157e2af7bb8691f0d594ac
140254,105,100075,445.385,0,0,"Televizor Philips LED 43PFS5503, 43'' (109cm) Full HD",43PFS5503/12,Televizori,Philips,45b907f92bbb5480e491652bbe3dc435
140255,3,100752,2088.333,0,0,Laptop Dell Latitude 5590 (N062L559015EMEA_WIN-09),N062L559015EMEA_WIN-09,Laptopi,Dell,f4e01c0d48de549a2f7153bb58e8c830
